filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
43881,Pina,2011,Documentary,100,"Germany, France, Great Britain",Wim Wenders,"Pina Bausch, Regina Advento, Malou Airaudo, Ruth Amarante, Rainer Behr, Andrey Berezin, Damiano Ottavio Bigi, Bénédicte Billet, Ales Cucek, Clementine Deluy, Josephine Ann Endicott, Lutz Förster, Pablo Aran Gimeno, Mechthild Grossmann, Silvia Farias Heredía",7.7,7.83,8.0,90,"A tribute to the work of the extraordinary dancer and choreographer Pina Bausch, interpreter of a real revolution within contemporary dance.","A documentary that exudes the passion and affection of a heartfelt tribute, capable of reinventing itself every few minutes through the intensity and variety of the dances and settings and captivating even the most disinterested viewer. 3D therefore finds an author's application and Wenders challenges its limits in representing movement, choosing wide focal lengths that mimic the characteristics of the human eye and also making the camera dance, to keep the sense of depth alive. As if the director and choreographer were talking one last time in a dance for two.",1,4,4,3,1
43941,A Torinói ló ,2011,Drama,150,"Hungary, France, Germany, Switzerland",Béla Tarr,"Volker Spengler, János Derzsi, Erika Bók, Mihály Kormos, Ricsi",8.3,8.26,8.0,131,"On January 3, 1889, Friedrich Nietzsche came out of the door of number 6 in via Carlo Alberto, in Turin, and saw a driver mistreating the horse of his team who refused to move. In Nietszche, at that sight, something broke inside: he ran to embrace the horse crying and fell into madness, from which he would never recover. Obviously nothing more was known about the horse. His story is told by this film that follows the life of the coachman, his daughter and - of course - the animal.",,1,2,5,2,1
43954,Jodaeiye Nader az Simin,2011,Drama,123,Iran,Asghar Farhadi,"Leila Hatami, Peyman Moadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi, Babak Karimi, Marila Zare'i",8.0,8.05,8.0,228,"Everything is ready for the departure that Simin, her husband Nader and their daughter Termeh have planned. They will leave Iran for a new life and a new nation. However, at the last minute, Nader thinks about it: he does not dare to leave his father alone, who is sick with Alzehimer. The decision wreaks havoc and Simin asks for a divorce, which the court won't grant her. He then leaves home and Termeh decides to stay with his father, hoping that his mother will return home. But the choice made by Nader, who hires a young woman to look after his father in his absence, will prove to be dramatic.","Asghar Farhadi confirms himself, after the excellent About Elly, as a director capable of building relationships of tension between the characters and inserting mystery elements in almost ordinary events. The screenplay boasts diabolical perfection, where the indignation of the female characters and the irascibility of the male ones play a good game to further confuse the waters, drowning the facts in an almost inexhaustible flow of words. A real tour de force for excellently directed performers.",3,4,5,4,1
44036,Sala samobójców ,2011,Drama,110,Poland,Jan Komasa,"Filip Bobek, Danuta Borsuk, Paulina Chapko, Krzysztof Czeczot, Krzysztof Dracz, Karolina Dryzner, Pawel Ferens, Roma Gasiorowska, Bartosz Gelner, Jakub Gierszal",7.2,6.5,8.0,7,"A series of humiliating events, which occur 100 days before his graduation, pushes the privileged Dominik into a virtual world but soon his experiences relegated to the online are dangerously transformed into reality.",,0,0,0,0,0
44259,The Sunset Limited,2011,Drama,91,United States,Tommy Lee Jones,"Samuel L. Jackson, Tommy Lee Jones",7.3,7.0,8.0,42,"Two lonely men, the White (Tommy Lee Jones) and the Black (Samuel L. Jackson), without a name but characterized by the color of their skin, are discussing the meaning of human suffering, the existence of God and the reasons behind them. led White to attempt suicide under a subway train, the Sunset Limited. The Black, who a few hours earlier had saved White's life, tries to explain to him the reasons why life is worth living, telling how he heard the voice of God himself in the past. The result is a very close dialogue marked by the different positions of the two men: on the one hand the Black, a believing ex-prisoner, and on the other hand the White, an atheist professor.","Television adaptation of the novel ""The Sunset Limited"" by the American writer Cormac McCarthy, who also wrote the screenplay.",0,3,3,2,0
44588,Drive,2011,Noir,95,United States,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Ron Perlman, Oscar Isaac, Christina Hendricks, Bryan Cranston, Albert Brooks, Tina Huang, Joe Pingue, Tiara Parker",7.7,7.76,8.0,649,"A man (without a name) with a passion for cars divides his day life between working as a mechanic and as a stuntman for the cinema and, in the night, occasionally, he also turns into a driver for criminals. While his garage manager Shannon gets him a deal with a powerful local boss to introduce him to pro racing, he meets and falls in love with Irene, his neighbor with a dependent child and her husband in jail. When he returns to freedom, the underworld comes forward immediately boasting an open account and coming to threaten the woman and the child. Worried about their fate, the mechanic / stuntman decides to make himself available to the man as a pilot for the blow that should allow him to pay off the debt and free himself: but nothing goes right, and the situation becomes even more complicated.","Winding Refn, perhaps the only (European) director who has been able to push forward the limit of observation and tremor towards the exploration of violence (there is more blood in his films than in all of Scorsese's put together), signs a noir that has something classic in its effective schematism and something humanistic in its sentimentality that Nick Ray would not have minded.",1,3,2,3,1
44642,Las acacias,2011,Drama,85,"Argentina, Spain",Pablo Giorgelli,"Germán de Silva, Nayra Calle Mamani, Hebe Duarte",7.3,7.0,8.0,13,"Rubén knows like the back of his hand the highway that leads from Asunción, in Paraguay, to Buenos Ayres, in Argentina: he is a truck driver and he has traveled that road countless times. But the journey he is about to make will be different: with him - who is usually always alone - this time there will be Jacinta, who arrives an hour late for the appointment where he has to load them: a bad start. Surprisingly, the girl also brought her 5-month-old baby with her. Rubén and Jacinta do not know each other, but they have 1500 kilometers ahead of them to pass together. And even if their journey will be of few words, it will not be silent.","Caméra d'or at Cannes 2011, with us two years late and it is useless to ask why, the debut of the forty-five-year-old Argentine Pablo Giorgelli makes a virtue of modesty: in a flat style with a serene and painful phlegm, it simply tells of an encounter between souls resigned to their discontent, and it does so through the accumulation of details, details, tiny gestures and slow emotional shifts, in a speech totally focused on what the faces of the actors express, on the pauses, on the clumsy and withheld words, on that they don't say. Delicate minimalist road movie with a certain destination, a bit locked up in a nice theorem.",1,1,3,0,0
44899,Tatsumi,2011,Animation,94,Singapore,Eric Khoo,,8.0,8.0,8.0,3,"Japan has just given up and rising from the devastation of World War II is not easy. The smell of the bombs is still alive, the resulting poverty and loneliness bring out fears, obsessions and states of human alienation that pervade the drawings of a ten-year-old boy who has always been fond of comics. What was initially a game to escape from the surrounding reality will become a work that, over the span of fifteen years, will transform the little one into the most famous author of gekiga (stories designed for an adult audience with dramatic themes and characterized by precise lines).","Taken from the biography of the designer Tatsumi (A Drifting Life), the film is interspersed with five gekigas (Hell, Beloved Monkey, Just a Man, Occupied, Good-Bye) designed by him and considered cult.",0,2,2,1,1
44925,Volcano,2011,Drama,99,"Denmark, Iceland",Rúnar Rúnarsson,"Þorsteinn Bachmann, Þröstur Leó Gunnarsson, Benedikt Erlingsson, Margrét Helga Jóhannsdóttir, Katla M. Þorgeirsdóttir, Jóhann Sigurðarson, Auður Drauma Bachmann, Elma Lísa Gunnarsdóttir, Björn Karlsson, Theodór Júlíusson",7.5,7.43,8.0,13,"Sixty-seven-year-old Hannes has recently retired. Without his job as a janitor, the man is forced to spend his days at home, with nothing to do and in the company of his wife, with whom he has had a worn-out relationship for years. Due to his solitary character, Hannes has long since lost almost all contact with friends and has broken ties with family members. But his entire existence is destined to be turned upside down when, following tragic events, the elderly person has to come to the aid of someone he loves.",,0,0,0,0,0
44962,Arirang,2011,Documentary,101,South Korea,Kim Ki-duk,Kim Ki-duk,7.4,7.27,8.0,44,"In 2008 on the set of _Dream_, director Kim Ki-duk helplessly witnesses an accident that almost causes the death of an actress. The event marked him deeply and pushed him to take refuge in an abandoned house where he led a life without comfort, in contact with nature.","An autobiographical work, shot in the form of a diary with a digital camera, which marks the return of Kim Ki-duk after three years of profound personal and professional crisis. An introspective, poignant and narcissistic journey in which the Korean director reflects on love, passions and hatred, on relationships on and off the set, but above all on his cinema. The cry of pain of an author who wants to go back to work.",0,1,4,1,0
